latitude,longitude,depth,d13C,Core,d18O
53.540,-20.290,2196.000,1.113,GIK23414_9,2.6822
54.420,-149.430,3480.000,-0.010,PAR87A_01,2.6300
57.500,-15.870,1145.000,0.900,ODP982,2.2550
58.000,-16.500,1150.000,1.146,BOFS17K,2.4320
60.690,-20.990,2658.000,0.810,V29_202,2.7600
61.530,-38.120,2567.000,1.420,PS62_004_3,3.2500
61.700,-39.070,2192.000,1.220,PS62_003_2,3.6800
66.583,1.117,2900.000,1.375,V27_86,3.3700
66.680,4.570,1226.000,1.083,MD95_2010,3.2400
67.870,-21.770,777.000,1.380,PS2644_5,3.5300
67.870,-21.760,778.000,1.260,PS2644_2,3.6450
68.500,0.820,2802.000,1.340,GIK23065_3,3.8280
68.560,-21.450,1115.000,1.109,PS2646_2,3.7544
68.560,-21.450,1115.000,1.110,PS2646_2,3.7544
70.120,-17.690,1622.000,1.061,PS1730_2,3.3960
85.520,156.480,2388.000,1.160,OD96_30_3_1,4.7030
-56.680,160.240,3912.000,0.160,SO136-111,3.5900
-53.630,169.870,799.000,1.280,B32,2.6400
-53.330,169.240,602.000,1.880,SO136-61,2.4800
-51.720,167.830,629.000,1.750,D178,2.4400
-51.700,171.520,519.000,1.570,F137,2.3900
-50.630,169.380,585.000,1.720,MD97-2109,2.5600
-50.600,171.390,529.000,1.230,D206,2.2400
-50.520,174.320,1026.000,1.050,F149,2.2700
-49.780,168.930,649.000,1.820,D84,2.7700
-48.950,174.980,704.000,1.380,F111,2.2200
-48.670,170.810,801.000,1.350,F104,2.2400
-48.500,149.520,2155.000,0.740,MD97-2108,3.2300
-47.840,146.550,2260.000,0.520,MD88-779,3.3100
-47.720,145.800,2950.000,0.320,MD97-2107,3.6100
-47.440,133.010,3945.000,0.390,E39_43,3.6100
-47.040,174.080,1429.000,0.620,H564,2.8400
-47.000,149.520,3208.000,0.610,SO136-155,3.2200
-47.000,166.060,1648.000,1.800,TAN0803-09,2.9800
-46.770,166.920,743.000,1.680,TAN1106-07,1.7900
