latitude,longitude,depth,d13C,dataset,datasetName,Core,coreflag,speciesflag,speciesName,depthtop,depthbottom,adjdepthmean,age_calkaBP,d18O,Author,FileName,AdditionalNotes,RetrievalNb, sitename,variabledescription,citation,References,datadoi,DataSource,Date,Cruise
-20.4,11.62,965,0.55,1,P14,V19-258,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Lynch-Stieglitz et al. 2006,NaN,NaN,NaN,NaN
-20.1,9.19,2209,0.63,1,P14,GeoB1028-5,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bickert and Mackensen 2004,NaN,NaN,NaN,NaN
-20.01,112.93,962,0.7,1,P14,RS53-GC09,2,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"McCorkle, D. C., Heggie, D. T., & Veeh, H. H. (1998). Glacial and Holocene stable isotope distributions in the southeastern Indian Ocean. Paleoceanography, 13(1), 20-34. ",NaN,NaN,NaN,NaN
-19.59,113.54,956,0.73,1,P14,RS53-GC04,2,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"McCorkle, D. C., Heggie, D. T., & Veeh, H. H. (1998). Glacial and Holocene stable isotope distributions in the southeastern Indian Ocean. Paleoceanography, 13(1), 20-34. ",NaN,NaN,NaN,NaN
-19.05,112.75,1979,0.66,1,P14,RS53-GC06,2,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"McCorkle, D. C., Heggie, D. T., & Veeh, H. H. (1998). Glacial and Holocene stable isotope distributions in the southeastern Indian Ocean. Paleoceanography, 13(1), 20-34. ",NaN,NaN,NaN,NaN
-18.91,112.63,2256,0.77,1,P14,RS53-GC07,2,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"McCorkle, D. C., Heggie, D. T., & Veeh, H. H. (1998). Glacial and Holocene stable isotope distributions in the southeastern Indian Ocean. Paleoceanography, 13(1), 20-34. ",NaN,NaN,NaN,NaN
-17.53,38.4,1934,0.71,1,P14,MD79-254,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,curry et al 88,NaN,NaN,NaN,NaN
-17,-114.1,3177,0.34,1,P14,V19-55,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Matsumoto & Lynch-Steiglitz, 1999",NaN,NaN,NaN,NaN
-14.1,-96.1,3248,0.21,1,P14,V19-41,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Matsumoto & Lynch-Steiglitz, 1999",NaN,NaN,NaN,NaN
-8.53,-34.02,2072,1.26,1,P14,GeoB2204-2,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bickert and Mackensen 2004,NaN,NaN,NaN,NaN
