latitude,longitude,depth,d13C,datasetNam,Core,speciesNam,age_calkaB,d18O,Author,FileName,sitename,datadoi,Cruise
-72.489999999999995,-73.349999999999994,560.000000000000000,0.190000000000000,M12,2529-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT XI/3
-72.439999999999998,-35.640000000000001,3575.000000000000000,0.610000000000000,M12,2816-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT XIV/3
-72.439999999999998,-34.490000000000002,3547.000000000000000,0.790000000000000,M12,2817-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT XIV/3
-72.430000000000007,-23.629999999999999,4030.000000000000000,0.660000000000000,M12,1371-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-72.390000000000001,-17.850000000000001,1432.000000000000000,0.600000000000000,M12,2819-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT XIV/3
-72.379999999999995,-19.910000000000000,3546.000000000000000,0.730000000000000,M12,1502-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-72.340000000000003,-26.840000000000000,3767.000000000000000,0.660000000000000,M12,1636-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-72.329999999999998,-16.520000000000000,310.000000000000000,1.410000000000000,M12,1367-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-72.290000000000006,-30.820000000000000,3551.000000000000000,0.340000000000000,M12,1500-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-72.250000000000000,-16.879999999999999,1237.000000000000000,0.790000000000000,M12,1373-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-72.200000000000003,-16.719999999999999,802.000000000000000,0.840000000000000,M12,1372-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-72.060000000000002,-30.430000000000000,3654.000000000000000,0.740000000000000,M12,2818-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT XIV/3
-71.989999999999995,-75.280000000000001,446.000000000000000,0.550000000000000,M12,2528-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT XI/3
-71.969999999999999,-15.300000000000001,299.000000000000000,1.290000000000000,M12,1376-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
